time (s),pulsewidth (us),force (lb)
0.000,1750,2.86
0.002,1750,2.71
0.004,1750,2.78
0.006,1750,2.78
0.008,1750,2.86
0.010,1750,2.93
0.012,1750,2.78
0.014,1750,2.93
0.016,1750,2.93
0.018,1750,2.71
0.020,1750,3.00
0.022,1751,2.93
0.024,1751,2.71
0.026,1751,2.57
0.028,1751,2.86
0.030,1751,2.71
0.032,1751,2.86
0.034,1751,2.78
0.036,1751,2.93
0.038,1752,2.86
0.040,1752,2.93
0.042,1752,2.78
0.044,1752,2.86
0.046,1752,2.86
0.048,1752,3.07
0.050,1753,2.93
0.052,1753,2.78
0.054,1753,2.78
0.056,1753,3.00
0.058,1754,2.71
0.060,1754,2.86
0.062,1754,2.71
0.064,1754,2.64
0.066,1755,2.64
0.068,1755,3.00
0.070,1755,3.07
0.072,1755,2.93
0.074,1756,2.93
0.076,1756,2.78
0.078,1756,2.71
0.080,1757,2.86
0.082,1757,3.07
0.084,1757,3.00
0.086,1758,2.71
0.088,1758,2.86
0.090,1758,2.93
0.092,1759,3.00
0.094,1759,3.21
0.096,1760,3.00
0.098,1760,2.64
0.100,1760,3.00
0.102,1761,3.21
0.104,1761,3.14
0.106,1762,2.86
0.108,1762,2.86
0.110,1763,2.78
0.112,1763,2.86
0.114,1764,3.07
0.116,1764,3.14
0.118,1765,2.78
0.120,1765,3.00
0.122,1766,3.00
0.124,1766,3.00
0.126,1767,2.78
0.128,1767,3.07
0.130,1768,3.00
0.132,1768,3.07
0.134,1769,3.07
0.136,1769,3.28
0.138,1770,3.00
0.140,1770,3.21
0.142,1771,2.86
0.144,1772,3.07
0.146,1772,3.00
0.148,1773,3.28
0.150,1773,3.14
0.152,1774,3.14
0.154,1775,3.28
0.156,1775,3.07
0.158,1776,3.07
0.160,1776,3.43
0.162,1777,3.07
0.164,1778,3.28
0.166,1778,3.07
0.168,1779,3.35
0.170,1780,3.57
0.172,1780,3.14
0.174,1781,3.35
0.176,1782,3.21
0.178,1783,3.35
0.180,1783,3.21
0.182,1784,3.00
0.184,1785,3.21
0.186,1785,3.00
0.188,1786,3.64
0.190,1787,3.35
0.192,1788,3.57
0.194,1788,3.64
0.196,1789,3.14
0.198,1790,3.57
0.200,1791,3.35
0.202,1791,3.43
0.204,1792,3.28
0.206,1793,3.28
0.208,1794,3.43
0.210,1795,3.35
0.212,1795,3.57
0.214,1796,3.35
0.216,1797,3.71
0.218,1798,3.57
0.220,1799,3.57
0.222,1799,3.93
0.224,1800,3.64
0.226,1801,3.85
0.228,1802,3.57
0.230,1803,3.71
0.232,1803,3.57
0.234,1804,3.64
0.236,1805,3.57
0.238,1806,3.50
0.240,1807,3.78
0.242,1808,3.71
0.244,1808,4.00
0.246,1809,3.85
0.248,1810,4.00
0.250,1811,3.64
0.252,1812,3.85
0.254,1813,3.85
0.256,1813,3.78
0.258,1814,4.07
0.260,1815,3.57
0.262,1816,4.28
0.264,1817,3.93
0.266,1818,4.21
0.268,1818,4.00
0.270,1819,3.85
0.272,1820,3.93
0.274,1821,3.57
0.276,1822,4.07
0.278,1822,4.00
0.280,1823,4.21
0.282,1824,3.78
0.284,1825,4.28
0.286,1826,3.85
0.288,1826,4.50
0.290,1827,4.00
0.292,1828,3.85
0.294,1829,4.28
0.296,1829,3.93
0.298,1830,4.35
0.300,1831,4.21
0.302,1832,4.57
0.304,1832,4.14
0.306,1833,4.43
0.308,1834,4.00
0.310,1834,4.28
0.312,1835,4.28
0.314,1836,4.35
0.316,1837,4.21
0.318,1837,4.43
0.320,1838,3.78
0.322,1838,4.78
0.324,1839,4.14
0.326,1840,4.57
0.328,1840,4.28
0.330,1841,4.43
0.332,1841,4.35
0.334,1842,4.43
0.336,1843,4.78
0.338,1843,4.28
0.340,1844,4.85
0.342,1844,3.85
0.344,1845,4.71
0.346,1845,4.14
0.348,1845,5.07
0.350,1846,4.14
0.352,1846,4.78
0.354,1847,4.35
0.356,1847,4.85
0.358,1847,4.78
0.360,1848,4.78
0.362,1848,4.93
0.364,1848,4.50
0.366,1849,4.64
0.368,1849,4.35
0.370,1849,5.00
0.372,1849,4.50
0.374,1849,4.78
0.376,1850,4.43
0.378,1850,4.78
0.380,1850,4.64
0.382,1850,5.00
0.384,1850,4.35
0.386,1850,4.85
0.388,1850,4.21
0.390,1850,4.57
0.392,1850,4.71
0.394,1850,5.07
0.396,1850,4.71
0.398,1850,4.85
0.400,1849,4.43
0.402,1849,4.85
0.404,1849,4.57
0.406,1849,4.71
0.408,1849,4.64
0.410,1848,4.50
0.412,1848,4.43
0.414,1847,4.93
0.416,1847,4.78
0.418,1847,4.85
0.420,1846,4.64
0.422,1846,4.35
0.424,1845,4.64
0.426,1845,4.93
0.428,1844,4.71
0.430,1843,4.57
0.432,1843,4.14
0.434,1842,4.50
0.436,1841,4.35
0.438,1841,4.64
0.440,1840,4.71
0.442,1839,4.64
0.444,1838,4.50
0.446,1837,4.64
0.448,1836,4.57
0.450,1835,4.85
0.452,1834,4.57
0.454,1833,4.35
0.456,1832,4.28
0.458,1831,4.50
0.460,1830,4.43
0.462,1829,4.64
0.464,1828,4.14
0.466,1826,4.43
0.468,1825,3.93
0.470,1824,4.50
0.472,1822,4.35
0.474,1821,4.78
0.476,1820,4.21
0.478,1818,4.35
0.480,1817,4.28
0.482,1815,4.28
0.484,1814,4.43
0.486,1812,3.93
0.488,1810,4.35
0.490,1809,3.71
0.492,1807,4.50
0.494,1805,4.00
0.496,1804,4.57
0.498,1802,3.93
0.500,1800,4.14
0.502,1798,3.85
0.504,1796,3.57
0.506,1794,4.14
0.508,1793,3.71
0.510,1791,4.28
0.512,1789,3.64
0.514,1787,3.78
0.516,1785,3.50
0.518,1783,3.93
0.520,1780,3.50
0.522,1778,3.71
0.524,1776,3.28
0.526,1774,3.57
0.528,1772,3.50
0.530,1770,3.64
0.532,1768,3.57
0.534,1765,3.21
0.536,1763,3.57
0.538,1761,2.86
0.540,1759,3.57
0.542,1757,3.21
0.544,1754,3.43
0.546,1752,3.21
0.548,1750,3.21
0.550,1747,2.78
0.552,1745,2.93
0.554,1743,3.21
0.556,1740,2.64
0.558,1738,2.93
0.560,1736,2.71
0.562,1733,3.00
0.564,1731,3.14
0.566,1729,2.86
0.568,1727,2.71
0.570,1724,2.64
0.572,1722,2.43
0.574,1720,3.00
0.576,1717,2.43
0.578,1715,2.57
0.580,1713,2.21
0.582,1711,2.50
0.584,1708,2.21
0.586,1706,2.57
0.588,1704,2.43
0.590,1702,2.43
0.592,1700,2.07
0.594,1697,2.50
0.596,1695,2.14
0.598,1693,2.21
0.600,1691,2.21
0.602,1689,2.00
0.604,1687,2.07
0.606,1685,1.93
0.608,1683,2.14
0.610,1681,1.93
0.612,1680,2.14
0.614,1678,1.78
0.616,1676,2.21
0.618,1674,1.78
0.620,1673,1.78
0.622,1671,1.86
0.624,1669,1.57
0.626,1668,1.93
0.628,1666,1.78
0.630,1665,1.86
0.632,1664,1.71
0.634,1662,1.50
0.636,1661,1.86
0.638,1660,1.28
0.640,1659,2.07
0.642,1658,1.14
0.644,1657,1.64
0.646,1656,1.64
0.648,1655,1.36
0.650,1654,1.43
0.652,1653,1.43
0.654,1653,1.36
0.656,1652,1.57
0.658,1652,1.57
0.660,1651,1.36
0.662,1651,1.57
0.664,1650,1.14
0.666,1650,1.50
0.668,1650,1.43
0.670,1650,1.36
0.672,1650,1.36
0.674,1650,1.21
0.676,1650,0.93
0.678,1651,1.43
0.680,1651,1.71
0.682,1651,1.21
0.684,1652,1.57
0.686,1652,1.21
0.688,1653,1.14
0.690,1654,1.50
0.692,1655,1.43
0.694,1655,1.57
0.696,1656,1.07
0.698,1657,1.00
0.700,1659,1.36
0.702,1660,1.36
0.704,1661,1.43
0.706,1663,1.50
0.708,1664,1.50
0.710,1666,1.28
0.712,1667,1.57
0.714,1669,1.64
0.716,1671,1.50
0.718,1673,1.28
0.720,1675,1.07
0.722,1677,1.50
0.724,1679,1.64
0.726,1681,1.43
0.728,1683,1.78
0.730,1685,1.50
0.732,1688,1.36
0.734,1690,1.64
0.736,1693,2.00
0.738,1695,1.93
0.740,1698,1.71
0.742,1701,1.43
0.744,1703,1.71
0.746,1706,1.78
0.748,1709,1.86
0.750,1712,2.28
0.752,1715,1.71
0.754,1718,1.86
0.756,1721,1.93
0.758,1724,2.14
0.760,1727,2.21
0.762,1730,2.50
0.764,1733,2.21
0.766,1736,2.07
0.768,1739,2.28
0.770,1743,2.43
0.772,1746,2.14
0.774,1749,2.50
0.776,1752,2.14
0.778,1756,2.28
0.780,1759,2.50
0.782,1762,2.64
0.784,1765,2.78
0.786,1769,2.86
0.788,1772,2.86
0.790,1775,2.78
0.792,1778,3.21
0.794,1781,2.86
0.796,1784,3.07
0.798,1788,3.07
0.800,1791,2.86
0.802,1794,2.86
0.804,1797,3.21
0.806,1800,3.28
0.808,1803,3.57
0.810,1805,3.14
0.812,1808,3.57
0.814,1811,3.43
0.816,1814,3.50
0.818,1816,3.64
0.820,1819,3.71
0.822,1821,3.43
0.824,1824,3.43
