time (s),pulsewidth (us),force (lb)
0.000,1750,3.13
0.002,1750,2.63
0.004,1750,2.91
0.006,1750,2.77
0.008,1750,2.70
0.010,1750,2.63
0.012,1750,2.77
0.014,1750,2.63
0.016,1750,2.91
0.018,1750,2.91
0.020,1750,2.91
0.022,1750,2.84
0.024,1750,2.91
0.026,1750,2.77
0.028,1750,2.77
0.030,1750,2.84
0.032,1750,2.84
0.034,1750,2.77
0.036,1750,2.91
0.038,1750,2.77
0.040,1750,2.84
0.042,1750,2.48
0.044,1750,2.70
0.046,1750,2.63
0.048,1750,2.63
0.050,1750,2.70
0.052,1750,2.98
0.054,1750,2.84
0.056,1750,2.98
0.058,1750,2.98
0.060,1750,3.05
0.062,1750,2.77
0.064,1750,2.91
0.066,1750,2.56
0.068,1750,2.63
0.070,1751,2.84
0.072,1751,2.84
0.074,1751,2.91
0.076,1751,2.77
0.078,1751,2.77
0.080,1751,2.98
0.082,1751,2.63
0.084,1751,2.84
0.086,1751,3.05
0.088,1751,2.77
0.090,1751,2.70
0.092,1751,2.84
0.094,1751,2.91
0.096,1751,2.91
0.098,1751,2.84
0.100,1751,2.77
0.102,1751,2.48
0.104,1751,2.77
0.106,1751,3.05
0.108,1751,2.91
0.110,1751,2.84
0.112,1751,2.70
0.114,1751,2.91
0.116,1751,3.05
0.118,1751,2.91
0.120,1752,2.91
0.122,1752,2.56
0.124,1752,2.56
0.126,1752,2.98
0.128,1752,2.84
0.130,1752,2.91
0.132,1752,2.84
0.134,1752,2.91
0.136,1752,2.91
0.138,1752,2.84
0.140,1752,2.91
0.142,1752,2.77
0.144,1752,2.77
0.146,1752,2.84
0.148,1752,2.98
0.150,1752,2.91
0.152,1752,2.91
0.154,1752,2.98
0.156,1753,3.13
0.158,1753,2.63
0.160,1753,2.84
0.162,1753,2.98
0.164,1753,2.91
0.166,1753,2.84
0.168,1753,2.77
0.170,1753,2.70
0.172,1753,2.91
0.174,1753,2.98
0.176,1753,3.05
0.178,1753,2.91
0.180,1753,2.77
0.182,1753,2.63
0.184,1754,2.77
0.186,1754,3.05
0.188,1754,2.77
0.190,1754,2.84
0.192,1754,2.77
0.194,1754,2.91
0.196,1754,2.84
0.198,1754,2.98
0.200,1754,2.84
0.202,1754,2.77
0.204,1754,2.63
0.206,1754,3.05
0.208,1755,2.98
0.210,1755,2.98
0.212,1755,2.84
0.214,1755,2.84
0.216,1755,2.77
0.218,1755,2.77
0.220,1755,2.91
0.222,1755,2.84
0.224,1755,2.63
0.226,1755,3.20
0.228,1755,2.91
0.230,1756,2.98
0.232,1756,2.91
0.234,1756,2.84
0.236,1756,2.91
0.238,1756,2.84
0.240,1756,2.98
0.242,1756,2.84
0.244,1756,2.70
0.246,1756,3.13
0.248,1756,2.98
0.250,1757,2.98
0.252,1757,2.91
0.254,1757,2.98
0.256,1757,2.84
0.258,1757,2.98
0.260,1757,3.13
0.262,1757,2.84
0.264,1757,2.70
0.266,1757,3.13
0.268,1758,3.05
0.270,1758,3.13
0.272,1758,2.91
0.274,1758,2.91
0.276,1758,2.84
0.278,1758,2.77
0.280,1758,3.20
0.282,1758,3.05
0.284,1758,2.84
0.286,1759,3.13
0.288,1759,2.84
0.290,1759,2.98
0.292,1759,2.91
0.294,1759,2.98
0.296,1759,3.05
0.298,1759,2.91
0.300,1759,2.98
0.302,1760,3.13
0.304,1760,2.98
0.306,1760,3.05
0.308,1760,2.98
0.310,1760,2.84
0.312,1760,2.84
0.314,1760,3.13
0.316,1760,2.98
0.318,1761,2.77
0.320,1761,2.84
0.322,1761,2.91
0.324,1761,2.98
0.326,1761,3.27
0.328,1761,2.91
0.330,1761,2.91
0.332,1762,2.84
0.334,1762,3.20
0.336,1762,3.27
0.338,1762,3.05
0.340,1762,2.98
0.342,1762,2.70
0.344,1762,3.05
0.346,1763,3.05
0.348,1763,3.05
0.350,1763,2.98
0.352,1763,2.91
0.354,1763,2.91
0.356,1763,3.05
0.358,1763,3.20
0.360,1764,3.13
0.362,1764,2.98
0.364,1764,2.84
0.366,1764,2.84
0.368,1764,3.05
0.370,1764,3.13
0.372,1764,3.13
0.374,1765,3.13
0.376,1765,3.41
0.378,1765,3.05
0.380,1765,3.27
0.382,1765,2.98
0.384,1765,2.98
0.386,1766,2.84
0.388,1766,2.91
0.390,1766,2.91
0.392,1766,3.20
0.394,1766,3.13
0.396,1766,3.20
0.398,1767,3.20
0.400,1767,2.98
0.402,1767,2.91
0.404,1767,3.05
0.406,1767,2.98
0.408,1767,3.13
0.410,1768,2.98
0.412,1768,3.34
0.414,1768,3.20
0.416,1768,3.20
0.418,1768,3.13
0.420,1768,2.91
0.422,1769,3.05
0.424,1769,2.98
0.426,1769,3.05
0.428,1769,2.98
0.430,1769,3.05
0.432,1769,3.34
0.434,1770,3.27
0.436,1770,3.48
0.438,1770,3.05
0.440,1770,3.05
0.442,1770,3.13
0.444,1770,2.91
0.446,1771,3.27
0.448,1771,3.20
0.450,1771,3.27
0.452,1771,3.20
0.454,1771,2.98
0.456,1772,3.13
0.458,1772,3.05
0.460,1772,3.05
0.462,1772,3.13
0.464,1772,3.05
0.466,1773,3.41
0.468,1773,3.13
0.470,1773,3.34
0.472,1773,3.41
0.474,1773,3.05
0.476,1774,3.27
0.478,1774,3.05
0.480,1774,3.48
0.482,1774,3.20
0.484,1774,2.98
0.486,1774,3.34
0.488,1775,3.05
0.490,1775,3.63
0.492,1775,3.20
0.494,1775,3.34
0.496,1775,3.13
0.498,1776,2.84
0.500,1776,3.34
0.502,1776,3.13
0.504,1776,3.34
0.506,1776,3.27
0.508,1777,3.27
0.510,1777,3.55
0.512,1777,3.27
0.514,1777,3.48
0.516,1778,3.05
0.518,1778,3.13
0.520,1778,3.13
0.522,1778,3.05
0.524,1778,3.27
0.526,1779,3.13
0.528,1779,3.48
0.530,1779,3.20
0.532,1779,3.55
0.534,1779,3.41
0.536,1780,3.05
0.538,1780,3.34
0.540,1780,3.27
0.542,1780,3.41
0.544,1780,3.41
0.546,1781,3.20
0.548,1781,3.41
0.550,1781,2.98
0.552,1781,3.48
0.554,1782,3.27
0.556,1782,3.34
0.558,1782,3.41
0.560,1782,3.13
0.562,1782,3.41
0.564,1783,3.27
0.566,1783,3.48
0.568,1783,3.48
0.570,1783,3.41
0.572,1784,3.20
0.574,1784,3.13
0.576,1784,3.55
0.578,1784,3.34
0.580,1785,3.55
0.582,1785,3.34
0.584,1785,3.34
0.586,1785,3.48
0.588,1785,3.48
0.590,1786,3.55
0.592,1786,3.20
0.594,1786,3.34
0.596,1786,3.20
0.598,1787,3.20
0.600,1787,3.48
0.602,1787,3.41
0.604,1787,3.48
0.606,1788,3.48
0.608,1788,3.63
0.610,1788,3.55
0.612,1788,3.55
0.614,1788,3.55
0.616,1789,3.34
0.618,1789,3.48
0.620,1789,3.41
0.622,1789,3.55
0.624,1790,3.55
0.626,1790,3.63
0.628,1790,3.13
0.630,1790,3.34
0.632,1791,3.63
0.634,1791,3.34
0.636,1791,3.70
0.638,1791,3.48
0.640,1792,3.55
0.642,1792,3.55
0.644,1792,3.77
0.646,1792,3.55
0.648,1793,3.34
0.650,1793,3.34
0.652,1793,3.34
0.654,1793,3.55
0.656,1794,3.77
0.658,1794,3.70
0.660,1794,3.70
0.662,1794,3.55
0.664,1795,3.77
0.666,1795,3.48
0.668,1795,3.77
0.670,1795,3.41
0.672,1796,3.34
0.674,1796,3.41
0.676,1796,3.48
0.678,1796,3.77
0.680,1797,3.77
0.682,1797,3.70
0.684,1797,3.48
0.686,1797,3.63
0.688,1798,3.70
0.690,1798,3.48
0.692,1798,3.70
0.694,1798,3.55
0.696,1799,3.84
0.698,1799,3.48
0.700,1799,3.77
0.702,1799,3.63
0.704,1800,3.63
0.706,1800,3.63
0.708,1800,3.41
0.710,1800,3.91
0.712,1801,3.55
0.714,1801,3.98
0.716,1801,3.63
0.718,1801,3.77
0.720,1802,3.63
0.722,1802,3.70
0.724,1802,3.70
0.726,1802,3.41
0.728,1803,3.77
0.730,1803,3.63
0.732,1803,3.98
0.734,1803,3.77
0.736,1804,3.84
0.738,1804,3.70
0.740,1804,3.63
0.742,1805,3.70
0.744,1805,3.41
0.746,1805,3.70
0.748,1805,3.55
0.750,1806,3.91
0.752,1806,3.70
0.754,1806,3.91
0.756,1806,3.63
0.758,1807,3.84
0.760,1807,3.91
0.762,1807,3.55
0.764,1807,4.05
0.766,1808,3.55
0.768,1808,3.98
0.770,1808,3.70
0.772,1808,3.98
0.774,1809,3.63
0.776,1809,4.05
0.778,1809,3.48
0.780,1809,3.70
0.782,1810,4.13
0.784,1810,3.70
0.786,1810,4.34
0.788,1811,3.84
0.790,1811,3.98
0.792,1811,3.70
0.794,1811,4.20
0.796,1812,3.55
0.798,1812,3.98
0.800,1812,3.70
0.802,1812,3.77
0.804,1813,4.05
0.806,1813,4.13
0.808,1813,4.27
0.810,1813,3.84
0.812,1814,4.13
0.814,1814,3.55
0.816,1814,4.13
0.818,1814,3.91
0.820,1815,4.05
0.822,1815,3.91
0.824,1815,3.84
0.826,1816,3.84
0.828,1816,4.05
0.830,1816,4.20
0.832,1816,3.63
0.834,1817,4.27
0.836,1817,3.70
0.838,1817,4.05
0.840,1817,4.05
0.842,1818,3.98
0.844,1818,4.13
0.846,1818,4.13
0.848,1818,3.55
0.850,1819,4.13
0.852,1819,3.98
0.854,1819,4.27
0.856,1819,4.13
0.858,1820,4.05
0.860,1820,4.20
0.862,1820,3.98
0.864,1820,4.48
0.866,1821,3.91
0.868,1821,4.20
0.870,1821,4.20
0.872,1821,3.98
0.874,1822,4.20
0.876,1822,4.27
0.878,1822,3.91
0.880,1822,4.41
0.882,1823,3.77
0.884,1823,4.27
0.886,1823,4.13
0.888,1824,4.20
0.890,1824,4.55
0.892,1824,3.98
0.894,1824,4.34
0.896,1825,3.91
0.898,1825,4.77
0.900,1825,3.77
0.902,1825,4.34
0.904,1826,4.13
0.906,1826,3.98
0.908,1826,4.34
0.910,1826,4.20
0.912,1826,4.05
0.914,1827,4.34
0.916,1827,3.77
0.918,1827,4.34
0.920,1827,4.05
0.922,1828,4.48
0.924,1828,4.13
0.926,1828,4.27
0.928,1828,4.34
0.930,1829,4.05
0.932,1829,4.63
0.934,1829,3.84
0.936,1829,4.48
0.938,1830,3.98
0.940,1830,4.34
0.942,1830,4.20
0.944,1830,4.20
0.946,1831,4.13
0.948,1831,4.34
0.950,1831,4.05
0.952,1831,4.34
0.954,1832,4.41
0.956,1832,4.77
0.958,1832,4.41
0.960,1832,4.55
0.962,1832,4.34
0.964,1833,4.48
0.966,1833,4.13
0.968,1833,4.13
0.970,1833,4.20
