time (s),pulsewidth (us),force (lb)
0.000,1750,2.71
0.002,1750,2.86
0.004,1750,2.78
0.006,1750,2.86
0.008,1750,2.78
0.010,1750,2.57
0.012,1750,2.86
0.014,1750,3.00
0.016,1750,2.57
0.018,1750,2.93
0.020,1750,2.64
0.022,1750,2.78
0.024,1750,2.93
0.026,1750,2.71
0.028,1750,2.64
0.030,1750,2.71
0.032,1750,2.57
0.034,1750,3.07
0.036,1750,2.71
0.038,1750,2.86
0.040,1750,2.71
0.042,1750,3.00
0.044,1750,2.93
0.046,1750,2.93
0.048,1750,2.71
0.050,1750,2.86
0.052,1750,2.64
0.054,1750,3.21
0.056,1750,2.57
0.058,1751,2.86
0.060,1751,2.64
0.062,1751,2.86
0.064,1751,2.93
0.066,1751,2.93
0.068,1751,2.86
0.070,1751,2.86
0.072,1751,2.57
0.074,1751,3.14
0.076,1751,2.50
0.078,1751,2.78
0.080,1751,2.71
0.082,1751,2.93
0.084,1751,3.00
0.086,1751,2.93
0.088,1751,2.93
0.090,1751,2.71
0.092,1751,2.64
0.094,1751,2.86
0.096,1751,2.78
0.098,1752,2.86
0.100,1752,2.86
0.102,1752,2.93
0.104,1752,2.86
0.106,1752,2.86
0.108,1752,2.86
0.110,1752,2.86
0.112,1752,2.50
0.114,1752,3.07
0.116,1752,2.71
0.118,1752,2.78
0.120,1752,2.86
0.122,1752,2.78
0.124,1752,2.86
0.126,1752,3.00
0.128,1753,2.64
0.130,1753,3.00
0.132,1753,2.71
0.134,1753,3.07
0.136,1753,2.93
0.138,1753,2.78
0.140,1753,2.86
0.142,1753,2.71
0.144,1753,2.86
0.146,1753,2.71
0.148,1753,2.78
0.150,1754,2.93
0.152,1754,2.71
0.154,1754,3.07
0.156,1754,2.93
0.158,1754,2.78
0.160,1754,2.78
0.162,1754,2.86
0.164,1754,3.07
0.166,1754,2.78
0.168,1754,2.78
0.170,1755,2.71
0.172,1755,2.64
0.174,1755,2.86
0.176,1755,2.78
0.178,1755,2.78
0.180,1755,2.78
0.182,1755,2.86
0.184,1755,3.14
0.186,1755,3.00
0.188,1756,2.86
0.190,1756,2.93
0.192,1756,2.57
0.194,1756,2.86
0.196,1756,2.93
0.198,1756,2.71
0.200,1756,2.86
0.202,1756,2.93
0.204,1757,3.00
0.206,1757,2.93
0.208,1757,3.00
0.210,1757,3.00
0.212,1757,2.78
0.214,1757,2.78
0.216,1757,3.07
0.218,1757,2.86
0.220,1758,3.00
0.222,1758,2.86
0.224,1758,2.86
0.226,1758,2.78
0.228,1758,3.00
0.230,1758,3.07
0.232,1758,2.71
0.234,1759,3.07
0.236,1759,3.00
0.238,1759,2.86
0.240,1759,3.07
0.242,1759,2.86
0.244,1759,2.93
0.246,1759,2.86
0.248,1760,2.86
0.250,1760,3.07
0.252,1760,2.64
0.254,1760,3.14
0.256,1760,2.78
0.258,1760,2.93
0.260,1761,2.71
0.262,1761,3.07
0.264,1761,2.93
0.266,1761,2.93
0.268,1761,2.86
0.270,1761,3.07
0.272,1762,2.71
0.274,1762,3.21
0.276,1762,3.00
0.278,1762,3.00
0.280,1762,2.93
0.282,1762,3.07
0.284,1763,3.21
0.286,1763,3.14
0.288,1763,2.93
0.290,1763,3.07
0.292,1763,2.78
0.294,1764,3.28
0.296,1764,2.71
0.298,1764,3.00
0.300,1764,2.93
0.302,1764,3.14
0.304,1764,3.28
0.306,1765,3.21
0.308,1765,3.21
0.310,1765,2.86
0.312,1765,3.07
0.314,1765,3.00
0.316,1766,3.07
0.318,1766,2.93
0.320,1766,3.07
0.322,1766,3.07
0.324,1766,3.14
0.326,1767,3.21
0.328,1767,3.14
0.330,1767,2.93
0.332,1767,2.93
0.334,1767,2.78
0.336,1768,3.21
0.338,1768,3.21
0.340,1768,3.28
0.342,1768,3.28
0.344,1769,2.93
0.346,1769,3.07
0.348,1769,3.14
0.350,1769,3.14
0.352,1769,3.07
0.354,1770,3.07
0.356,1770,3.07
0.358,1770,3.14
0.360,1770,3.28
0.362,1771,3.43
0.364,1771,3.07
0.366,1771,3.21
0.368,1771,2.78
0.370,1771,3.21
0.372,1772,3.21
0.374,1772,2.93
0.376,1772,3.21
0.378,1772,2.93
0.380,1773,3.57
0.382,1773,3.28
0.384,1773,3.35
0.386,1773,3.35
0.388,1774,2.93
0.390,1774,3.14
0.392,1774,3.00
0.394,1774,3.14
0.396,1775,3.21
0.398,1775,3.14
0.400,1775,3.28
0.402,1775,3.07
0.404,1776,3.50
0.406,1776,3.28
0.408,1776,3.07
0.410,1776,3.57
0.412,1777,3.00
0.414,1777,3.35
0.416,1777,3.07
0.418,1777,3.35
0.420,1778,3.43
0.422,1778,3.07
0.424,1778,3.57
0.426,1778,3.07
0.428,1779,3.43
0.430,1779,3.07
0.432,1779,3.21
0.434,1779,3.35
0.436,1780,3.28
0.438,1780,3.57
0.440,1780,3.57
0.442,1780,3.57
0.444,1781,3.21
0.446,1781,3.07
0.448,1781,3.50
0.450,1782,3.00
0.452,1782,3.28
0.454,1782,3.28
0.456,1782,3.50
0.458,1783,3.64
0.460,1783,3.35
0.462,1783,3.57
0.464,1784,3.07
0.466,1784,3.35
0.468,1784,3.21
0.470,1784,3.35
0.472,1785,3.28
0.474,1785,3.43
0.476,1785,3.57
0.478,1786,3.50
0.480,1786,3.57
0.482,1786,3.28
0.484,1786,3.28
0.486,1787,3.28
0.488,1787,3.07
0.490,1787,3.35
0.492,1788,3.43
0.494,1788,3.78
0.496,1788,3.71
0.498,1789,3.64
0.500,1789,3.57
0.502,1789,3.35
0.504,1789,3.50
0.506,1790,3.00
0.508,1790,3.50
0.510,1790,3.14
0.512,1791,3.71
0.514,1791,3.43
0.516,1791,3.78
0.518,1792,3.64
0.520,1792,3.43
0.522,1792,3.64
0.524,1793,3.43
0.526,1793,3.50
0.528,1793,3.43
0.530,1793,3.71
0.532,1794,3.64
0.534,1794,3.50
0.536,1794,3.78
0.538,1795,3.28
0.540,1795,3.71
0.542,1795,3.35
0.544,1796,3.43
0.546,1796,3.57
