time (s),pulsewidth (us),force (lb)
0.000,1750,2.71
0.002,1750,2.78
0.004,1750,3.14
0.006,1750,3.14
0.008,1750,2.93
0.010,1750,2.71
0.012,1750,2.57
0.014,1750,2.86
0.016,1750,2.93
0.018,1750,2.86
0.020,1750,2.78
0.022,1750,2.71
0.024,1750,2.93
0.026,1750,3.00
0.028,1750,2.93
0.030,1750,2.86
0.032,1751,2.93
0.034,1751,2.64
0.036,1751,3.07
0.038,1751,2.78
0.040,1751,2.93
0.042,1751,2.71
0.044,1751,2.71
0.046,1751,2.64
0.048,1751,3.00
0.050,1751,2.78
0.052,1751,3.07
0.054,1752,2.64
0.056,1752,3.00
0.058,1752,2.78
0.060,1752,2.86
0.062,1752,2.78
0.064,1752,2.86
0.066,1752,2.78
0.068,1752,2.86
0.070,1753,2.78
0.072,1753,2.93
0.074,1753,2.64
0.076,1753,3.00
0.078,1753,2.78
0.080,1753,2.71
0.082,1754,2.86
0.084,1754,2.78
0.086,1754,2.93
0.088,1754,2.86
0.090,1754,2.64
0.092,1754,2.86
0.094,1755,2.64
0.096,1755,2.86
0.098,1755,2.78
0.100,1755,2.71
0.102,1755,2.78
0.104,1756,3.00
0.106,1756,3.14
0.108,1756,2.78
0.110,1756,2.71
0.112,1757,2.86
0.114,1757,2.71
0.116,1757,3.07
0.118,1757,3.00
0.120,1758,2.71
0.122,1758,2.71
0.124,1758,2.93
0.126,1758,3.00
0.128,1759,3.00
0.130,1759,2.86
0.132,1759,2.86
0.134,1759,2.64
0.136,1760,3.21
0.138,1760,3.00
0.140,1760,2.93
0.142,1760,2.78
0.144,1761,2.86
0.146,1761,2.93
0.148,1761,3.14
0.150,1762,3.14
0.152,1762,2.93
0.154,1762,2.64
0.156,1763,3.00
0.158,1763,3.00
0.160,1763,3.28
0.162,1764,2.78
0.164,1764,3.00
0.166,1764,2.78
0.168,1765,3.07
0.170,1765,3.14
0.172,1765,3.14
0.174,1766,2.86
0.176,1766,2.86
0.178,1766,2.71
0.180,1767,3.07
0.182,1767,2.93
0.184,1767,3.35
0.186,1768,3.14
0.188,1768,3.07
0.190,1768,3.07
0.192,1769,3.07
0.194,1769,3.07
0.196,1770,3.21
0.198,1770,2.93
0.200,1770,3.00
0.202,1771,2.93
0.204,1771,3.43
0.206,1771,3.21
0.208,1772,3.21
0.210,1772,3.07
0.212,1773,2.86
0.214,1773,3.14
0.216,1773,3.07
0.218,1774,3.35
0.220,1774,3.14
0.222,1775,3.28
0.224,1775,3.35
0.226,1775,3.35
0.228,1776,3.35
0.230,1776,2.86
0.232,1777,3.00
0.234,1777,3.43
0.236,1778,3.14
0.238,1778,3.43
0.240,1778,3.07
0.242,1779,3.35
0.244,1779,3.21
0.246,1780,3.14
0.248,1780,3.28
0.250,1780,3.28
0.252,1781,3.43
0.254,1781,3.14
0.256,1782,3.50
0.258,1782,3.43
0.260,1783,3.28
0.262,1783,3.43
0.264,1783,3.21
0.266,1784,3.50
0.268,1784,3.14
0.270,1785,3.28
0.272,1785,3.50
0.274,1785,3.00
0.276,1786,3.43
0.278,1786,3.21
0.280,1787,3.57
0.282,1787,3.50
0.284,1787,3.50
0.286,1788,3.57
0.288,1788,3.14
0.290,1789,3.71
0.292,1789,3.21
0.294,1789,3.43
0.296,1790,3.21
0.298,1790,3.28
0.300,1790,3.64
0.302,1791,3.43
0.304,1791,3.64
0.306,1792,3.50
0.308,1792,3.50
0.310,1792,3.50
0.312,1793,3.57
0.314,1793,3.64
0.316,1793,3.50
0.318,1794,3.57
0.320,1794,3.43
0.322,1794,3.78
0.324,1795,3.43
0.326,1795,3.64
0.328,1795,3.57
0.330,1795,3.14
0.332,1796,3.57
0.334,1796,3.50
0.336,1796,3.78
0.338,1797,3.71
0.340,1797,3.93
0.342,1797,3.50
0.344,1797,3.78
0.346,1798,3.64
0.348,1798,3.35
0.350,1798,3.57
0.352,1798,3.43
0.354,1798,3.85
0.356,1799,3.71
0.358,1799,3.78
0.360,1799,3.78
0.362,1799,3.57
0.364,1799,3.71
0.366,1799,3.43
0.368,1799,4.00
0.370,1800,3.50
0.372,1800,3.78
0.374,1800,3.57
0.376,1800,3.71
0.378,1800,3.85
0.380,1800,3.78
0.382,1800,3.85
0.384,1800,3.43
0.386,1800,3.71
0.388,1800,3.50
0.390,1800,3.85
0.392,1800,3.71
0.394,1800,3.78
0.396,1800,3.64
0.398,1800,3.71
0.400,1800,4.00
0.402,1800,3.64
0.404,1800,4.00
0.406,1799,3.43
0.408,1799,3.85
0.410,1799,3.64
0.412,1799,4.00
0.414,1799,3.85
0.416,1799,3.57
0.418,1798,3.64
0.420,1798,3.35
0.422,1798,3.78
0.424,1798,3.64
0.426,1797,4.28
0.428,1797,3.50
0.430,1797,3.85
0.432,1796,3.78
0.434,1796,3.71
0.436,1796,3.85
0.438,1795,3.57
0.440,1795,3.57
0.442,1794,3.35
0.444,1794,3.78
0.446,1794,3.50
0.448,1793,3.85
0.450,1793,3.64
0.452,1792,3.50
0.454,1792,3.71
0.456,1791,3.50
0.458,1791,3.93
0.460,1790,3.57
0.462,1789,3.78
0.464,1789,3.35
0.466,1788,3.57
0.468,1787,3.71
0.470,1787,3.71
0.472,1786,3.64
0.474,1785,3.35
0.476,1785,3.57
0.478,1784,3.43
0.480,1783,3.78
0.482,1783,3.50
0.484,1782,3.64
0.486,1781,3.50
0.488,1780,3.28
0.490,1779,3.71
0.492,1779,3.14
0.494,1778,3.78
0.496,1777,3.14
0.498,1776,3.43
0.500,1775,3.43
0.502,1774,3.35
0.504,1773,3.57
0.506,1772,3.14
0.508,1771,3.57
0.510,1770,2.93
0.512,1769,3.43
0.514,1768,3.00
0.516,1767,3.43
0.518,1766,3.14
0.520,1765,3.21
0.522,1764,3.35
0.524,1763,3.00
0.526,1762,3.43
0.528,1761,3.00
0.530,1760,3.21
0.532,1759,2.86
0.534,1758,3.07
0.536,1757,3.14
0.538,1756,3.00
0.540,1754,3.14
0.542,1753,3.28
0.544,1752,3.07
0.546,1751,3.28
0.548,1750,2.86
0.550,1749,2.93
0.552,1748,2.71
0.554,1746,3.21
0.556,1745,2.86
0.558,1744,3.00
0.560,1743,2.64
0.562,1742,2.71
0.564,1741,2.57
0.566,1739,3.00
0.568,1738,2.50
0.570,1737,2.93
0.572,1736,2.93
0.574,1735,3.00
0.576,1734,2.78
0.578,1733,2.86
0.580,1731,2.43
0.582,1730,2.57
0.584,1729,2.28
0.586,1728,2.86
0.588,1727,2.43
0.590,1726,2.43
0.592,1725,2.43
0.594,1724,2.57
0.596,1723,2.78
0.598,1722,2.64
0.600,1721,2.36
0.602,1720,2.43
0.604,1719,2.14
0.606,1718,2.64
0.608,1717,2.28
0.610,1716,2.28
0.612,1715,2.43
0.614,1714,2.28
0.616,1713,2.50
0.618,1712,2.28
0.620,1711,2.21
0.622,1711,2.14
0.624,1710,2.14
0.626,1709,2.14
0.628,1708,2.64
0.630,1708,2.14
0.632,1707,2.21
0.634,1706,2.21
0.636,1706,2.14
0.638,1705,2.36
0.640,1704,2.21
0.642,1704,2.36
0.644,1703,1.86
0.646,1703,2.21
0.648,1702,1.78
0.650,1702,2.28
0.652,1702,2.07
0.654,1701,1.78
0.656,1701,2.07
0.658,1701,2.00
0.660,1701,2.28
0.662,1700,2.07
0.664,1700,2.14
0.666,1700,2.07
0.668,1700,2.14
0.670,1700,2.14
0.672,1700,1.86
0.674,1700,2.36
0.676,1700,1.36
0.678,1700,2.21
0.680,1700,2.07
0.682,1701,2.00
0.684,1701,1.93
0.686,1701,1.93
0.688,1701,2.07
0.690,1702,2.14
0.692,1702,2.28
0.694,1703,1.93
0.696,1703,2.07
0.698,1704,1.78
0.700,1704,1.78
0.702,1705,2.21
0.704,1706,1.78
0.706,1706,2.07
0.708,1707,1.71
0.710,1708,2.07
0.712,1709,2.28
0.714,1709,2.21
0.716,1710,2.28
0.718,1711,1.43
0.720,1712,2.14
0.722,1713,1.64
0.724,1714,2.28
0.726,1715,2.28
0.728,1717,2.00
0.730,1718,1.93
0.732,1719,2.00
0.734,1720,2.43
0.736,1721,2.43
0.738,1723,2.36
0.740,1724,2.07
0.742,1725,1.86
0.744,1727,2.50
0.746,1728,2.21
0.748,1729,2.78
0.750,1731,2.07
0.752,1732,2.00
0.754,1734,2.14
0.756,1735,2.50
0.758,1737,2.71
0.760,1738,2.71
0.762,1740,2.36
0.764,1742,2.14
0.766,1743,2.43
0.768,1745,2.36
0.770,1746,2.93
0.772,1748,2.57
0.774,1750,2.50
0.776,1751,2.28
0.778,1753,2.64
0.780,1754,2.71
0.782,1756,3.00
0.784,1758,2.50
0.786,1759,2.57
0.788,1761,2.86
0.790,1762,2.64
0.792,1764,2.93
0.794,1766,3.14
0.796,1767,2.71
0.798,1769,2.78
0.800,1770,2.64
0.802,1772,3.07
0.804,1773,3.21
0.806,1775,3.28
0.808,1776,3.14
0.810,1778,2.93
0.812,1779,3.00
0.814,1780,3.00
0.816,1782,3.43
0.818,1783,3.43
0.820,1784,3.07
0.822,1786,3.00
0.824,1787,3.14
0.826,1788,3.50
0.828,1789,3.78
0.830,1790,3.21
0.832,1791,3.14
0.834,1792,3.00
0.836,1793,3.50
0.838,1794,3.78
0.840,1795,3.71
0.842,1795,3.50
0.844,1796,3.00
0.846,1797,3.21
0.848,1797,3.28
0.850,1798,3.85
0.852,1798,3.43
0.854,1799,3.57
0.856,1799,3.64
0.858,1799,3.28
0.860,1800,3.93
0.862,1800,3.71
0.864,1800,3.93
0.866,1800,3.43
0.868,1800,3.43
0.870,1800,3.71
0.872,1800,3.71
0.874,1799,4.21
0.876,1799,3.43
0.878,1799,3.57
0.880,1798,3.43
0.882,1798,3.57
0.884,1797,3.71
0.886,1797,3.50
0.888,1796,3.64
0.890,1795,3.43
0.892,1794,3.85
0.894,1793,3.71
0.896,1793,3.85
0.898,1792,3.71
0.900,1790,3.50
0.902,1789,3.50
0.904,1788,3.28
0.906,1787,3.71
0.908,1786,3.43
0.910,1784,3.85
0.912,1783,3.43
0.914,1781,3.50
0.916,1780,3.43
0.918,1778,3.28
0.920,1777,3.57
0.922,1775,3.21
0.924,1773,3.64
0.926,1772,3.28
0.928,1770,3.50
0.930,1768,3.50
0.932,1766,3.21
0.934,1764,3.43
0.936,1762,3.00
0.938,1760,3.57
0.940,1759,2.71
0.942,1757,3.28
0.944,1755,2.93
0.946,1753,3.35
0.948,1751,3.00
0.950,1749,3.00
0.952,1747,3.00
0.954,1745,3.07
0.956,1743,3.07
0.958,1741,3.21
0.960,1739,2.71
0.962,1737,2.78
0.964,1735,2.50
0.966,1733,2.78
0.968,1731,2.78
0.970,1729,2.78
0.972,1727,2.57
0.974,1726,2.78
0.976,1724,2.28
0.978,1722,3.07
0.980,1720,2.36
0.982,1719,2.78
0.984,1717,2.43
0.986,1716,2.64
0.988,1714,2.57
0.990,1713,2.57
0.992,1711,2.36
0.994,1710,2.50
0.996,1709,2.00
0.998,1708,2.64
1.000,1707,1.86
1.002,1706,2.36
1.004,1705,2.14
1.006,1704,2.28
1.008,1703,2.43
1.010,1702,2.21
1.012,1702,2.36
1.014,1701,1.93
1.016,1701,2.00
1.018,1701,2.07
1.020,1700,2.36
1.022,1700,1.86
1.024,1700,2.21
1.026,1700,1.71
1.028,1700,2.36
1.030,1700,1.93
1.032,1701,2.14
1.034,1701,1.93
1.036,1701,1.71
1.038,1702,2.07
1.040,1703,1.71
1.042,1703,2.43
1.044,1704,1.93
1.046,1705,2.07
1.048,1706,2.00
1.050,1707,2.07
1.052,1709,2.14
1.054,1710,2.14
1.056,1711,2.14
1.058,1713,2.21
1.060,1714,2.14
1.062,1716,1.93
1.064,1717,1.93
1.066,1719,2.43
1.068,1721,1.64
1.070,1723,2.57
1.072,1725,2.00
1.074,1727,2.43
1.076,1729,2.28
1.078,1731,2.36
1.080,1733,2.43
1.082,1735,2.28
1.084,1737,2.36
1.086,1739,2.00
1.088,1742,2.57
1.090,1744,1.93
1.092,1746,2.57
1.094,1748,2.50
1.096,1751,2.57
1.098,1753,2.50
1.100,1755,2.50
1.102,1758,2.86
1.104,1760,2.93
1.106,1762,2.93
1.108,1764,2.64
1.110,1766,2.86
1.112,1769,2.36
1.114,1771,2.86
1.116,1773,3.07
1.118,1775,2.86
1.120,1777,2.93
1.122,1779,2.71
1.124,1781,3.14
1.126,1783,3.57
1.128,1784,3.35
1.130,1786,3.21
1.132,1788,2.78
1.134,1789,2.78
1.136,1791,3.07
1.138,1792,3.78
1.140,1793,3.64
1.142,1794,3.43
1.144,1795,3.07
1.146,1796,3.07
1.148,1797,3.50
