time (s),pulsewidth (us),force (lb)
0.578,1767,3.14
0.580,1767,3.28
0.582,1767,3.00
0.584,1767,3.35
0.586,1768,3.21
0.588,1768,3.07
0.590,1768,2.93
0.592,1768,3.00
0.594,1768,3.28
0.596,1768,2.93
0.598,1768,3.14
0.600,1768,3.28
0.602,1769,3.00
0.604,1769,3.35
0.606,1769,3.07
0.608,1769,3.21
0.610,1769,3.21
0.612,1769,3.07
0.614,1769,3.35
0.616,1769,2.93
0.618,1769,3.43
0.620,1770,3.07
0.622,1770,3.07
0.624,1770,3.07
0.626,1770,2.93
0.628,1770,3.28
0.630,1770,3.14
0.632,1770,3.14
0.634,1770,3.14
0.636,1771,3.00
0.638,1771,3.43
0.640,1771,2.93
0.642,1771,3.28
0.644,1771,3.14
0.646,1771,2.93
0.648,1771,3.21
0.650,1771,3.14
0.652,1772,3.50
0.654,1772,3.14
0.656,1772,3.14
0.658,1772,3.43
0.660,1772,3.07
0.662,1772,3.43
0.664,1772,3.07
0.666,1772,3.21
0.668,1773,3.21
0.670,1773,3.00
0.672,1773,3.28
0.674,1773,3.07
0.676,1773,3.57
0.678,1773,3.35
0.680,1773,3.35
0.682,1773,3.28
0.684,1774,2.93
0.686,1774,3.14
0.688,1774,2.93
0.690,1774,3.07
0.692,1774,3.21
0.694,1774,3.14
0.696,1774,3.50
0.698,1774,3.21
0.700,1775,3.21
0.702,1775,3.07
0.704,1775,3.07
0.706,1775,3.28
0.708,1775,2.93
0.710,1775,3.21
0.712,1775,2.93
0.714,1775,3.50
0.716,1776,3.43
0.718,1776,3.21
0.720,1776,3.43
0.722,1776,3.14
0.724,1776,3.21
0.726,1776,3.14
0.728,1776,3.28
0.730,1776,3.35
0.732,1777,3.28
0.734,1777,3.43
0.736,1777,3.14
0.738,1777,3.21
0.740,1777,3.07
0.742,1777,3.14
0.744,1777,3.35
0.746,1778,3.07
0.748,1778,3.43
0.750,1778,3.28
0.752,1778,3.57
0.754,1778,3.35
0.756,1778,3.21
0.758,1778,3.28
0.760,1778,3.07
0.762,1779,3.28
0.764,1779,3.21
0.766,1779,3.14
0.768,1779,3.43
0.770,1779,3.43
0.772,1779,3.57
0.774,1779,3.50
0.776,1779,3.50
0.778,1780,3.28
0.780,1780,3.28
0.782,1780,3.21
0.784,1780,3.00
0.786,1780,3.35
0.788,1780,3.14
0.790,1780,3.57
0.792,1781,3.50
0.794,1781,3.50
0.796,1781,3.71
0.798,1781,3.28
0.800,1781,3.35
0.802,1781,3.14
0.804,1781,3.35
0.806,1781,3.07
0.808,1782,3.50
0.810,1782,3.43
0.812,1782,3.28
0.814,1782,3.50
0.816,1782,3.28
0.818,1782,3.57
0.820,1782,3.28
0.822,1782,3.35
0.824,1783,3.43
0.826,1783,3.35
0.828,1783,3.57
0.830,1783,3.50
0.832,1783,3.50
0.834,1783,3.28
0.836,1783,3.28
0.838,1784,3.35
0.840,1784,3.21
0.842,1784,3.35
0.844,1784,3.21
0.846,1784,3.57
0.848,1784,3.64
0.850,1784,3.57
0.852,1784,3.57
0.854,1785,3.43
0.856,1785,3.28
0.858,1785,3.21
0.860,1785,3.21
0.862,1785,3.43
0.864,1785,3.35
0.866,1785,3.71
0.868,1785,3.43
0.870,1786,3.71
0.872,1786,3.50
0.874,1786,3.50
0.876,1786,3.28
0.878,1786,3.14
0.880,1786,3.35
0.882,1786,3.21
0.884,1787,3.43
0.886,1787,3.35
0.888,1787,3.50
0.890,1787,3.28
0.892,1787,3.64
0.894,1787,3.71
0.896,1787,3.35
0.898,1787,3.57
0.900,1788,3.28
0.902,1788,3.57
0.904,1788,3.57
0.906,1788,3.64
0.908,1788,3.43
0.910,1788,3.28
0.912,1788,3.35
0.914,1788,3.21
0.916,1788,3.57
0.918,1789,3.57
0.920,1789,3.78
0.922,1789,3.64
0.924,1789,3.64
0.926,1789,3.78
0.928,1789,3.35
0.930,1789,3.64
0.932,1789,3.14
0.934,1790,3.28
0.936,1790,3.28
0.938,1790,3.50
0.940,1790,3.85
0.942,1790,3.71
0.944,1790,3.78
0.946,1790,3.57
0.948,1790,3.57
0.950,1791,3.43
0.952,1791,3.35
0.954,1791,3.57
0.956,1791,3.35
0.958,1791,3.78
0.960,1791,3.57
0.962,1791,4.00
0.964,1791,3.64
0.966,1791,3.64
0.968,1792,3.43
0.970,1792,3.28
0.972,1792,3.50
0.974,1792,3.35
0.976,1792,3.57
0.978,1792,3.43
0.980,1792,3.57
0.982,1792,3.50
0.984,1792,3.71
0.986,1793,3.78
0.988,1793,3.57
0.990,1793,3.64
0.992,1793,3.43
0.994,1793,3.57
0.996,1793,3.64
0.998,1793,3.71
1.000,1793,3.43
1.002,1793,3.35
1.004,1794,3.57
1.006,1794,3.14
1.008,1794,3.71
1.010,1794,3.71
1.012,1794,3.78
1.014,1794,3.64
1.016,1794,3.64
1.018,1794,3.64
1.020,1794,3.64
1.022,1794,3.64
1.024,1795,3.28
1.026,1795,3.43
1.028,1795,3.28
1.030,1795,3.71
1.032,1795,3.78
1.034,1795,3.93
1.036,1795,3.78
1.038,1795,3.57
1.040,1795,3.71
1.042,1795,3.35
1.044,1795,3.71
1.046,1796,3.57
1.048,1796,3.78
1.050,1796,3.57
1.052,1796,3.64
1.054,1796,3.93
1.056,1796,3.50
1.058,1796,3.85
1.060,1796,3.07
1.062,1796,3.57
1.064,1796,3.57
1.066,1796,3.78
1.068,1797,3.78
1.070,1797,3.71
1.072,1797,3.71
1.074,1797,3.64
1.076,1797,4.07
1.078,1797,3.64
1.080,1797,3.64
1.082,1797,3.64
1.084,1797,3.71
1.086,1797,3.50
1.088,1797,3.64
1.090,1797,3.64
1.092,1797,3.35
1.094,1798,3.78
1.096,1798,3.43
1.098,1798,3.71
1.100,1798,3.78
1.102,1798,3.85
1.104,1798,3.93
1.106,1798,3.85
1.108,1798,3.78
1.110,1798,3.64
1.112,1798,3.85
1.114,1798,3.21
1.116,1798,3.43
1.118,1798,3.43
1.120,1798,3.71
1.122,1798,3.71
1.124,1798,3.78
1.126,1799,3.64
1.128,1799,3.64
1.130,1799,3.93
1.132,1799,3.28
1.134,1799,3.93
1.136,1799,3.57
1.138,1799,3.78
1.140,1799,3.85
1.142,1799,3.64
1.144,1799,3.71
1.146,1799,3.64
1.148,1799,3.78
1.150,1799,3.35
1.152,1799,3.57
1.154,1799,3.64
1.156,1799,3.71
1.158,1799,3.85
1.160,1799,3.71
1.162,1799,3.93
1.164,1799,3.78
1.166,1799,3.78
1.168,1799,3.50
1.170,1800,3.64
1.172,1800,3.64
1.174,1800,3.57
1.176,1800,3.71
1.178,1800,3.71
1.180,1800,3.71
1.182,1800,3.64
1.184,1800,4.07
1.186,1800,3.57
1.188,1800,4.14
1.190,1800,3.64
1.192,1800,3.78
1.194,1800,3.78
1.196,1800,3.78
1.198,1800,3.85
1.200,1800,3.64
1.202,1800,3.78
1.204,1800,3.50
1.206,1800,3.78
1.208,1800,3.57
1.210,1800,3.85
1.212,1800,3.71
1.214,1800,3.71
1.216,1800,3.71
1.218,1800,3.71
1.220,1800,3.64
1.222,1800,3.64
1.224,1800,3.78
1.226,1800,3.50
1.228,1800,4.00
1.230,1800,3.71
1.232,1800,3.64
1.234,1800,3.93
1.236,1800,3.57
1.238,1800,3.57
1.240,1800,3.57
1.242,1800,3.93
1.244,1800,3.64
1.246,1800,3.78
1.248,1800,3.64
1.250,1800,3.71
1.252,1800,3.64
1.254,1800,3.85
1.256,1800,3.78
1.258,1800,3.71
1.260,1800,3.50
1.262,1800,3.71
1.264,1800,3.85
1.266,1800,3.57
1.268,1800,3.71
1.270,1800,3.28
1.272,1800,3.50
1.274,1800,3.85
1.276,1800,3.85
1.278,1800,4.14
1.280,1799,3.71
1.282,1799,3.78
1.284,1799,3.57
1.286,1799,3.93
1.288,1799,3.64
1.290,1799,3.64
1.292,1799,3.43
1.294,1799,3.43
1.296,1799,3.64
1.298,1799,3.93
1.300,1799,3.78
1.302,1799,3.71
1.304,1799,3.85
1.306,1799,3.50
1.308,1799,4.21
1.310,1799,3.64
1.312,1799,3.71
1.314,1799,3.78
1.316,1799,3.43
1.318,1798,3.78
1.320,1798,3.93
1.322,1798,3.71
1.324,1798,3.57
1.326,1798,3.71
1.328,1798,3.43
1.330,1798,3.71
1.332,1798,4.07
1.334,1798,3.64
1.336,1798,3.78
1.338,1798,3.57
1.340,1798,3.71
1.342,1798,3.93
1.344,1797,3.93
1.346,1797,3.57
1.348,1797,3.64
1.350,1797,3.57
1.352,1797,3.64
1.354,1797,3.93
1.356,1797,3.71
1.358,1797,3.71
1.360,1797,3.57
1.362,1797,3.85
1.364,1796,3.64
1.366,1796,3.85
1.368,1796,3.78
1.370,1796,3.64
1.372,1796,3.85
1.374,1796,3.71
1.376,1796,3.78
1.378,1796,3.71
1.380,1796,3.57
1.382,1795,3.28
1.384,1795,3.71
1.386,1795,3.71
1.388,1795,3.85
1.390,1795,3.85
1.392,1795,3.85
1.394,1795,3.57
1.396,1795,3.71
1.398,1794,3.85
1.400,1794,3.35
1.402,1794,3.64
1.404,1794,3.50
1.406,1794,3.64
1.408,1794,3.64
1.410,1794,3.71
1.412,1793,3.78
1.414,1793,3.57
1.416,1793,3.85
1.418,1793,3.50
1.420,1793,3.78
1.422,1793,3.50
1.424,1793,3.57
1.426,1792,3.64
1.428,1792,3.71
1.430,1792,3.57
1.432,1792,3.57
1.434,1792,3.78
1.436,1792,3.14
1.438,1791,3.93
1.440,1791,3.57
1.442,1791,3.57
1.444,1791,3.50
1.446,1791,3.57
1.448,1791,3.43
1.450,1790,3.43
1.452,1790,3.78
1.454,1790,3.14
1.456,1790,3.64
1.458,1790,3.35
1.460,1789,3.71
1.462,1789,3.71
1.464,1789,3.78
1.466,1789,3.50
1.468,1789,3.35
1.470,1788,3.64
1.472,1788,3.14
1.474,1788,3.64
1.476,1788,3.50
1.478,1788,3.64
1.480,1787,3.50
1.482,1787,3.71
1.484,1787,3.64
1.486,1787,3.43
1.488,1787,3.64
1.490,1786,3.35
1.492,1786,3.43
1.494,1786,3.35
1.496,1786,3.71
1.498,1786,3.50
1.500,1785,3.35
1.502,1785,3.50
1.504,1785,3.35
1.506,1785,3.64
1.508,1784,3.28
1.510,1784,3.35
1.512,1784,3.21
1.514,1784,3.28
1.516,1784,3.71
1.518,1783,3.43
1.520,1783,3.64
1.522,1783,3.21
1.524,1783,3.50
1.526,1782,3.28
1.528,1782,3.35
1.530,1782,3.57
1.532,1782,3.28
1.534,1781,3.71
1.536,1781,3.14
1.538,1781,3.64
1.540,1781,3.35
1.542,1780,3.43
1.544,1780,3.35
1.546,1780,3.07
1.548,1780,3.43
1.550,1779,3.35
1.552,1779,3.71
1.554,1779,3.28
1.556,1778,3.43
1.558,1778,3.21
1.560,1778,3.35
1.562,1778,3.57
1.564,1777,3.21
1.566,1777,3.50
1.568,1777,3.28
1.570,1777,3.50
1.572,1776,3.35
1.574,1776,3.35
1.576,1776,3.35
1.578,1775,3.07
1.580,1775,3.14
1.582,1775,2.86
1.584,1775,3.14
1.586,1774,3.21
1.588,1774,3.28
1.590,1774,3.57
1.592,1773,3.43
1.594,1773,3.43
1.596,1773,3.28
1.598,1773,3.21
1.600,1772,3.28
1.602,1772,3.00
1.604,1772,3.14
1.606,1771,3.00
1.608,1771,3.35
1.610,1771,3.35
1.612,1770,3.35
1.614,1770,3.35
1.616,1770,3.21
1.618,1769,3.35
1.620,1769,3.14
1.622,1769,3.35
1.624,1769,3.21
1.626,1768,3.14
1.628,1768,3.14
1.630,1768,3.07
1.632,1767,3.28
1.634,1767,3.21
1.636,1767,3.07
1.638,1766,3.07
1.640,1766,2.78
1.642,1766,3.21
1.644,1765,3.07
1.646,1765,3.35
1.648,1765,3.35
1.650,1764,3.14
1.652,1764,3.07
1.654,1764,3.00
1.656,1763,3.28
1.658,1763,3.14
1.660,1763,3.00
1.662,1762,2.93
1.664,1762,2.93
1.666,1762,3.43
1.668,1761,3.07
1.670,1761,3.21
1.672,1761,3.00
1.674,1760,2.78
1.676,1760,3.00
1.678,1760,2.93
1.680,1759,3.14
1.682,1759,3.00
1.684,1759,3.14
1.686,1758,3.21
1.688,1758,2.93
1.690,1758,3.07
1.692,1757,2.93
1.694,1757,2.71
1.696,1756,2.78
1.698,1756,2.78
1.700,1756,3.07
1.702,1755,2.93
1.704,1755,3.14
1.706,1755,3.14
1.708,1754,2.86
1.710,1754,3.14
1.712,1754,2.86
1.714,1753,2.93
1.716,1753,3.00
1.718,1753,2.86
1.720,1752,2.93
1.722,1752,2.64
1.724,1751,3.14
1.726,1751,3.00
1.728,1751,3.00
1.730,1750,2.93
1.732,1750,2.71
1.734,1750,2.78
1.736,1749,2.78
1.738,1749,2.86
1.740,1749,2.86
1.742,1748,2.64
1.744,1748,3.07
1.746,1747,2.86
1.748,1747,3.00
1.750,1747,2.93
1.752,1746,2.86
1.754,1746,2.78
1.756,1746,2.93
1.758,1745,2.71
1.760,1745,2.86
1.762,1745,2.64
1.764,1744,2.78
1.766,1744,2.86
1.768,1743,2.64
1.770,1743,2.71
1.772,1743,2.86
1.774,1742,2.57
1.776,1742,2.71
1.778,1742,2.71
1.780,1741,2.71
1.782,1741,2.57
1.784,1740,2.78
1.786,1740,2.78
1.788,1740,2.93
1.790,1739,2.64
1.792,1739,2.78
1.794,1739,2.57
1.796,1738,2.78
1.798,1738,3.00
1.800,1738,2.71
1.802,1737,2.57
1.804,1737,2.57
1.806,1736,2.86
1.808,1736,3.00
1.810,1736,2.57
1.812,1735,2.86
1.814,1735,2.43
1.816,1735,2.57
1.818,1734,2.78
1.820,1734,2.71
1.822,1734,2.64
1.824,1733,2.36
1.826,1733,2.43
1.828,1732,2.71
1.830,1732,2.50
1.832,1732,2.50
1.834,1731,2.64
1.836,1731,2.28
1.838,1731,2.57
1.840,1730,2.64
1.842,1730,2.64
1.844,1730,2.50
1.846,1729,2.50
1.848,1729,2.36
1.850,1729,2.71
1.852,1728,2.43
1.854,1728,2.57
1.856,1728,2.43
1.858,1727,2.28
1.860,1727,2.64
1.862,1727,2.50
1.864,1726,2.28
1.866,1726,2.43
1.868,1725,2.28
1.870,1725,2.78
1.872,1725,2.57
1.874,1724,2.36
1.876,1724,2.57
1.878,1724,2.21
1.880,1723,2.57
1.882,1723,2.50
1.884,1723,2.36
1.886,1722,2.21
1.888,1722,2.14
1.890,1722,2.28
1.892,1721,2.71
1.894,1721,2.43
1.896,1721,2.36
1.898,1721,2.43
1.900,1720,2.36
1.902,1720,2.57
1.904,1720,2.64
1.906,1719,2.21
1.908,1719,2.07
1.910,1719,2.07
1.912,1718,2.43
1.914,1718,2.71
1.916,1718,2.36
1.918,1717,2.28
1.920,1717,2.14
1.922,1717,2.36
1.924,1716,2.36
1.926,1716,2.71
1.928,1716,2.21
1.930,1716,1.93
1.932,1715,2.07
1.934,1715,2.36
1.936,1715,2.64
1.938,1714,2.43
1.940,1714,2.07
1.942,1714,2.14
1.944,1714,2.43
1.946,1713,2.21
1.948,1713,2.78
1.950,1713,2.21
1.952,1712,1.78
1.954,1712,2.07
1.956,1712,2.28
1.958,1712,2.43
1.960,1711,2.28
1.962,1711,2.00
1.964,1711,2.07
1.966,1711,2.43
1.968,1710,2.21
1.970,1710,2.71
1.972,1710,2.21
1.974,1710,1.64
1.976,1709,2.21
1.978,1709,2.28
1.980,1709,2.57
1.982,1709,2.43
1.984,1708,1.93
1.986,1708,2.00
1.988,1708,2.36
1.990,1708,2.28
1.992,1708,2.43
1.994,1707,2.28
1.996,1707,1.50
1.998,1707,2.07
2.000,1707,2.14
2.002,1706,2.36
2.004,1706,2.43
2.006,1706,1.71
2.008,1706,1.78
2.010,1706,2.00
2.012,1705,2.43
2.014,1705,2.14
2.016,1705,2.36
2.018,1705,1.78
2.020,1705,1.71
2.022,1705,2.43
2.024,1704,2.21
2.026,1704,2.36
2.028,1704,1.86
2.030,1704,1.71
2.032,1704,2.14
2.034,1704,2.50
2.036,1703,2.36
2.038,1703,2.14
2.040,1703,2.07
2.042,1703,1.57
2.044,1703,2.21
2.046,1703,2.28
2.048,1703,2.00
2.050,1702,2.07
2.052,1702,1.64
2.054,1702,1.86
2.056,1702,2.43
2.058,1702,2.28
2.060,1702,2.07
2.062,1702,1.71
